visitorid,ses_rec,ses_rec_avg,ses_rec_sd,ses_rec_cv,user_rec,ses_n,int_n,int_n_r,tran_n,tran_n_r,rev_sum,rev_sum_r,target_class
9457,0,1,0,0,1,2,2,1,0,0,0,0,1
9612,24,0,0,-1,24,2,2,1,0,0,0,0,1
9757,6,0,0,-1,6,3,3,1,0,0,0,0,1
10174,27,0,0,-1,27,2,2,1,0,0,0,0,1
10230,22,0.5,0.5,1,24,3,3,1,0,0,0,0,1
10458,1,26,0,0,27,2,3,1.5,0,0,0,0,1
10557,27,6,0,0,34,2,2,1,0,0,0,0,1
10689,13,38,0,0,52,2,2,1,0,0,0,0,1
11333,25,3.0769231,4.8589573,1.5791612,70,14,49,3.5,2,0.14285715,50640,3617.1428,1
11533,7,13.5,2.5,0.18518518,35,3,6,2,0,0,0,0,1
11576,10,38,0,0,48,2,2,1,0,0,0,0,1
11609,7,6,0,0,13,2,2,1,0,0,0,0,1
11679,20,1,0,0,22,2,2,1,0,0,0,0,1
12053,22,22,0,0,44,2,2,1,0,0,0,0,1
12531,4,2,0,0,7,2,2,1,0,0,0,0,1
12809,9,12,14.508618,1.2090515,60,5,8,1.6,0,0,0,0,1
13188,0,16,16,1,33,3,3,1,0,0,0,0,0
13397,10,1,0,0,12,2,2,1,0,0,0,0,1
13863,11,0.33333334,0.47140452,1.4142135,12,4,5,1.25,0,0,0,0,1
13965,6,7,7.5498343,1.0785478,35,5,7,1.4,0,0,0,0,1
13973,9,4,0,0,14,2,2,1,0,0,0,0,1
14185,5,3,3,1,12,3,4,1.3333334,0,0,0,0,0
14400,27,30,30,1,88,3,4,1.3333334,0,0,0,0,0
14540,18,0,0,-1,19,4,14,3.5,0,0,0,0,1
14993,22,50,0,0,72,2,2,1,0,0,0,0,1
15036,16,2,0,0,18,2,3,1.5,0,0,0,0,1
15628,4,68,0,0,72,2,2,1,0,0,0,0,1
16366,21,2,0,0,24,2,3,1.5,0,0,0,0,1
16726,26,4,0,0,31,2,2,1,0,0,0,0,1
16760,1,3,0,0,5,2,2,1,0,0,0,0,1
17050,8,29,0,0,38,2,3,1.5,0,0,0,0,1
17108,12,86,0,0,98,2,3,1.5,0,0,0,0,1
17158,4,6,0,0,10,2,2,1,0,0,0,0,1
17460,27,0,0,-1,27,2,3,1.5,0,0,0,0,1
17617,21,1,0,0,23,2,3,1.5,0,0,0,0,1
17879,0,0.72727275,1.7627927,2.42384,12,12,16,1.3333334,0,0,0,0,0
17917,17,14,9,0.64285713,47,3,3,1,0,0,0,0,1
18573,15,0,0,-1,15,2,25,12.5,3,1.5,94800,47400,1
18946,9,5,0,0,14,2,2,1,0,0,0,0,1
19675,4,48,0,0,52,2,2,1,0,0,0,0,1
20002,17,4,0,0,21,2,2,1,0,0,0,0,1
20518,10,23,0,0,34,2,2,1,0,0,0,0,1
20537,6,49,0,0,55,2,2,1,0,0,0,0,1
20581,0,42.5,42.5,1,85,3,7,2.3333333,0,0,0,0,1
20927,6,0,0,-1,6,2,2,1,0,0,0,0,1
20947,22,55,0,0,78,2,2,1,0,0,0,0,1
21295,25,3,0,0,28,2,4,2,0,0,0,0,1
21954,9,25.5,2.5,0.09803922,62,3,3,1,0,0,0,0,0
22058,14,0,0,-1,15,3,15,5,0,0,0,0,1
22189,29,0,0,-1,29,2,4,2,0,0,0,0,1
22224,13,5,0,0,19,2,2,1,0,0,0,0,1
22472,2,13.5,10.843585,0.8032285,86,7,7,1,0,0,0,0,1
22769,0,69,0,0,69,2,2,1,0,0,0,0,1
22819,25,1,0,0,26,2,3,1.5,0,0,0,0,1
22857,5,5,0,0,10,2,2,1,0,0,0,0,1
23009,15,0,0,-1,15,3,4,1.3333334,0,0,0,0,1
23040,17,2.5,2.5,1,23,3,4,1.3333334,0,0,0,0,1
24051,12,18.5,18.5,1,49,3,3,1,0,0,0,0,1
24130,7,7,0,0,15,2,2,1,0,0,0,0,1
24271,10,1.6666666,1.6996732,1.0198039,17,4,5,1.25,0,0,0,0,1
24338,10,48,0,0,58,2,2,1,0,0,0,0,1
24660,14,0.75,0.8291562,1.1055416,19,5,19,3.8,0,0,0,0,1
24712,22,0,0,-1,22,2,3,1.5,0,0,0,0,1
24722,2,17.333334,23.80943,1.3736209,55,4,22,5.5,3,0.75,77520,19380,1
25238,18,26.5,8.5,0.3207547,72,3,3,1,0,0,0,0,1
25337,12,4,4,1,21,3,5,1.6666666,0,0,0,0,1
25356,12,79,0,0,91,2,4,2,0,0,0,0,1
25372,4,1.5,1.118034,0.74535596,12,5,5,1,0,0,0,0,1
25722,10,51,0,0,62,2,2,1,0,0,0,0,1
26035,18,7.2222223,11.252435,1.5580294,87,10,31,3.1,0,0,0,0,1
26343,0,43.5,1.5,0.03448276,87,3,6,2,0,0,0,0,0
26393,15,24,0,0,39,2,2,1,0,0,0,0,1
26809,14,0,0,-1,14,2,6,3,0,0,0,0,1
26867,26,0,0,-1,26,2,4,2,0,0,0,0,1
26910,22,64,0,0,86,2,2,1,0,0,0,0,1
27111,21,6,0,0,28,2,3,1.5,0,0,0,0,1
27191,3,3.25,4.8669806,1.4975325,33,9,32,3.5555556,0,0,0,0,0
28250,21,3.3,4.4732537,1.3555315,57,11,21,1.9090909,0,0,0,0,1
28600,29,2.5,0.5,0.2,35,3,4,1.3333334,0,0,0,0,1
28662,19,0.6,0.8,1.3333334,25,6,6,1,0,0,0,0,1
28824,21,16,15,0.9375,54,3,3,1,0,0,0,0,0
29364,22,11,0,0,34,2,4,2,0,0,0,0,1
29732,4,13.5,12.5,0.9259259,32,3,5,1.6666666,0,0,0,0,0
29802,6,3.5,3.0413814,0.8689661,23,5,21,4.2,1,0.2,141120,28224,0
29867,21,0,0,-1,21,2,5,2.5,0,0,0,0,1
29949,10,32.5,25.5,0.7846154,76,3,5,1.6666666,0,0,0,0,1
30381,2,8,9.121404,1.1401755,86,11,17,1.5454545,0,0,0,0,1
30653,26,0,0,-1,26,2,3,1.5,0,0,0,0,1
30677,9,22,17,0.77272725,55,3,3,1,0,0,0,0,1
30737,0,4,0,0,5,2,3,1.5,0,0,0,0,1
30785,17,1,1,1,19,3,4,1.3333334,0,0,0,0,1
30809,10,22,22,1,55,3,4,1.3333334,0,0,0,0,1
30882,3,0,0,-1,3,2,2,1,0,0,0,0,1
31171,13,4,0,0,17,2,2,1,0,0,0,0,1
31326,0,0,0,-1,1,2,5,2.5,0,0,0,0,0
31640,16,6,0,0,22,2,2,1,0,0,0,0,1
31756,7,16.5,14.5,0.8787879,40,3,3,1,0,0,0,0,1
32134,25,1.8333334,2.477678,1.3514608,39,7,7,1,0,0,0,0,1
32237,18,0,0,-1,18,2,3,1.5,0,0,0,0,1
32578,0,0,0,-1,0,2,2,1,0,0,0,0,1
32596,17,0,0,-1,17,2,10,5,1,0.5,20400,10200,1
32735,14,0,0,-1,14,3,5,1.6666666,0,0,0,0,1
32843,25,4.8333335,6.6185765,1.3693607,89,13,21,1.6153846,0,0,0,0,1
32945,20,1,0.8164966,0.8164966,25,4,6,1.5,0,0,0,0,1
33018,1,21.5,21.5,1,44,3,6,2,0,0,0,0,1
33082,8,0,0,-1,8,2,7,3.5,0,0,0,0,1
33226,16,0,0,-1,16,2,2,1,0,0,0,0,1
33299,14,1.5,1.118034,0.74535596,22,5,5,1,0,0,0,0,1
33350,2,2.6666667,2.4944382,0.9354144,12,4,9,2.25,1,0.25,235800,58950,1
33356,24,1,1,1,27,3,4,1.3333334,0,0,0,0,1
33360,23,0,0,-1,23,2,3,1.5,0,0,0,0,1
33389,8,29,29,1,67,3,3,1,0,0,0,0,1
33553,11,3,0,0,15,2,4,2,0,0,0,0,1
33909,17,0,0,-1,17,2,7,3.5,0,0,0,0,1
33917,0,3,0,0,3,2,2,1,0,0,0,0,1
34072,9,5,0,0,14,2,3,1.5,0,0,0,0,1
34519,3,1,0,0,4,2,10,5,2,1,56160,28080,1
34570,12,0.8,1.6,2,18,6,32,5.3333335,1,0.16666667,25560,4260,1
34609,20,0,0,-1,20,2,3,1.5,0,0,0,0,1
34611,13,0,0,-1,14,14,16,1.1428572,0,0,0,0,1
34978,22,1,0,0,24,2,3,1.5,0,0,0,0,1
35161,24,22,8,0.36363637,68,3,3,1,0,0,0,0,1
35648,14,29,28,0.9655172,73,3,3,1,0,0,0,0,1
35978,28,0,0,-1,29,4,7,1.75,0,0,0,0,1
36115,26,1,0,0,27,2,2,1,0,0,0,0,1
36331,11,0,0,-1,12,2,2,1,0,0,0,0,1
36521,17,24.666666,32.7855,1.3291419,93,4,4,1,0,0,0,0,1
36567,5,57,0,0,62,2,3,1.5,0,0,0,0,1
36814,25,1.6666666,2.3570225,1.4142135,31,4,5,1.25,0,0,0,0,1
36815,11,0,0,-1,11,2,2,1,0,0,0,0,1
36816,27,21,0,0,48,2,2,1,0,0,0,0,1
36824,20,44,0,0,65,2,2,1,0,0,0,0,1
36854,9,63,0,0,72,2,3,1.5,0,0,0,0,1
36892,4,0.2,0.4,2,7,6,7,1.1666666,0,0,0,0,1
36912,17,7.1666665,7.1976075,1.0043174,63,7,7,1,0,0,0,0,1
37152,18,5,0,0,23,2,2,1,0,0,0,0,1
37529,2,20.5,23.081377,1.1259209,86,5,5,1,0,0,0,0,1
37659,7,0,0,-1,8,2,2,1,0,0,0,0,1
37663,8,1,0,0,9,2,2,1,0,0,0,0,1
38065,31,9,0,0,41,2,3,1.5,0,0,0,0,1
38073,23,21,0,0,44,2,3,1.5,0,0,0,0,1
38132,31,6,0,0,37,2,2,1,0,0,0,0,1
38791,31,30.5,24.5,0.8032787,93,3,3,1,0,0,0,0,1
39206,21,11,0,0,32,2,2,1,0,0,0,0,1
39539,30,3,0,0,34,2,2,1,0,0,0,0,1
39651,8,1.3269231,3.0110128,2.269169,98,53,53,1,0,0,0,0,1
39862,18,0,0,-1,18,2,2,1,0,0,0,0,1
39960,6,17,16,0.9411765,41,3,4,1.3333334,0,0,0,0,0
40114,23,17,0,0,40,2,2,1,0,0,0,0,1
40180,4,12,12,1,29,3,3,1,0,0,0,0,1
40725,29,0.5,0.8660254,1.7320508,33,5,6,1.2,0,0,0,0,1
40763,1,5,0,0,7,2,3,1.5,0,0,0,0,1
40797,21,0,0,-1,21,2,2,1,0,0,0,0,1
41090,7,28.333334,20.417856,0.7206302,94,4,5,1.25,0,0,0,0,1
41720,13,1,0,0,14,2,2,1,0,0,0,0,1
41725,25,0,0,-1,25,2,2,1,0,0,0,0,1
41933,29,0,0,-1,29,2,10,5,0,0,0,0,1
42473,4,20,3,0.15,45,3,3,1,0,0,0,0,1
42485,1,7.3333335,10.370899,1.4142135,23,4,4,1,0,0,0,0,0
42495,27,1.4,4.3174067,3.0838618,64,21,23,1.0952381,0,0,0,0,1
42848,1,0,0,-1,1,2,4,2,0,0,0,0,1
42860,26,0,0,-1,26,2,3,1.5,0,0,0,0,1
42874,19,19.666666,20.531818,1.0439907,79,4,7,1.75,0,0,0,0,0
42882,20,14,0,0,34,2,2,1,0,0,0,0,1
43208,12,2,0,0,15,2,2,1,0,0,0,0,0
43252,0,3,0,0,4,2,3,1.5,0,0,0,0,0
43542,1,50,0,0,52,2,3,1.5,0,0,0,0,1
43817,7,0,0,-1,7,2,2,1,0,0,0,0,1
43853,11,4.6666665,5.4057584,1.1583768,42,7,22,3.142857,0,0,0,0,0
43924,4,4,3,0.75,13,3,3,1,0,0,0,0,1
44897,17,3.8333333,3.578485,0.9335179,41,7,8,1.1428572,0,0,0,0,1
45021,27,0,0,-1,27,2,2,1,0,0,0,0,1
45203,3,0,0,-1,4,2,2,1,0,0,0,0,1
45487,10,18.5,19.045998,1.0295134,86,5,7,1.4,0,0,0,0,1
45540,4,4.2,6.0794735,1.4474937,27,6,7,1.1666666,0,0,0,0,1
46383,3,25.666666,27.353651,1.0657266,81,4,4,1,0,0,0,0,1
47049,10,0,0,-1,11,2,3,1.5,0,0,0,0,1
47493,6,0.5,0.5,1,8,3,3,1,0,0,0,0,1
47559,19,0,0,-1,21,7,20,2.857143,0,0,0,0,1
47616,31,0,0,-1,32,2,2,1,0,0,0,0,1
47729,25,0,0,-1,25,2,2,1,0,0,0,0,1
48358,4,16,0,0,21,2,2,1,0,0,0,0,1
48529,2,0.5,0.5,1,4,3,11,3.6666667,0,0,0,0,0
48635,13,10.5,8.732124,0.8316309,57,5,5,1,0,0,0,0,1
48980,18,2.4,2.5768197,1.0736749,32,6,6,1,0,0,0,0,0
50045,6,1,0,0,7,2,2,1,0,0,0,0,1
50945,14,0,0,-1,14,2,2,1,0,0,0,0,1
51254,30,0,0,-1,31,2,2,1,0,0,0,0,1
51749,3,0,0,-1,3,3,3,1,0,0,0,0,0
52685,6,0,0,-1,6,2,3,1.5,0,0,0,0,1
53301,28,7,0,0,35,2,2,1,0,0,0,0,1
53401,22,0,0,-1,22,2,2,1,0,0,0,0,1
53444,7,0,0,-1,8,4,4,1,0,0,0,0,1
53552,27,0,0,-1,27,2,2,1,0,0,0,0,1
53555,1,14.4,28.30265,1.9654619,75,6,8,1.3333334,0,0,0,0,0
53900,23,2,0,0,26,2,4,2,0,0,0,0,1
53943,18,0,0,-1,18,2,3,1.5,0,0,0,0,1
53952,16,5,4,0.8,27,3,4,1.3333334,0,0,0,0,1
53954,28,2,2,1,32,3,3,1,0,0,0,0,1
54241,11,31,0,0,42,2,2,1,0,0,0,0,0
54325,2,1,0,0,3,2,2,1,0,0,0,0,1
54982,6,0,0,-1,6,2,2,1,0,0,0,0,1
55004,29,27.5,21.5,0.7818182,84,3,5,1.6666666,0,0,0,0,1
55425,27,0,0,-1,28,3,4,1.3333334,0,0,0,0,1
55741,17,1,0,0,18,2,2,1,0,0,0,0,1
55753,14,45,0,0,60,2,2,1,0,0,0,0,1
55801,23,39,0,0,62,2,2,1,0,0,0,0,1
55828,16,0,0,-1,16,2,4,2,0,0,0,0,1
55866,5,88,0,0,93,2,2,1,0,0,0,0,1
56344,18,5.6923075,8.730007,1.5336498,96,14,22,1.5714285,0,0,0,0,0
56430,19,55,0,0,74,2,2,1,0,0,0,0,1
56560,20,5,0,0,26,2,2,1,0,0,0,0,1
57088,22,0.5,0.8660254,1.7320508,25,5,9,1.8,1,0.2,68280,13656,1
57148,1,5,0,0,7,2,3,1.5,0,0,0,0,1
57324,24,15,0,0,39,2,2,1,0,0,0,0,1
57357,12,2,2,1,17,3,3,1,0,0,0,0,1
58409,23,23,0,0,46,2,2,1,0,0,0,0,1
58592,16,1,0,0,19,3,9,3,0,0,0,0,1
59325,22,0,0,-1,22,2,3,1.5,0,0,0,0,1
59773,1,0,0,-1,1,2,6,3,0,0,0,0,1
59830,13,20.5,16.874537,0.82314813,96,5,6,1.2,0,0,0,0,1
60162,2,0,0,-1,2,2,2,1,0,0,0,0,1
60204,17,0,0,-1,18,3,3,1,0,0,0,0,1
60303,17,0,0,-1,18,2,2,1,0,0,0,0,1
61259,25,3,3,1,32,3,3,1,0,0,0,0,1
61480,20,0,0,-1,20,2,7,3.5,0,0,0,0,1
61684,18,1.3333334,1.4907119,1.118034,45,16,20,1.25,0,0,0,0,1
61823,6,0.5,0.5,1,8,3,3,1,0,0,0,0,1
61842,21,2,0,0,24,2,3,1.5,0,0,0,0,1
61939,27,0,0,-1,27,2,3,1.5,0,0,0,0,1
61991,3,0,0,-1,3,2,2,1,0,0,0,0,1
62318,4,76,0,0,80,2,2,1,0,0,0,0,1
62550,20,0,0,-1,20,2,4,2,0,0,0,0,1
62788,31,18.5,18.5,1,69,3,4,1.3333334,0,0,0,0,1
62888,10,0.33333334,0.47140452,1.4142135,11,4,4,1,0,0,0,0,1
62895,17,13.5,10.5,0.7777778,45,3,9,3,0,0,0,0,1
62969,22,32,0,0,55,2,2,1,0,0,0,0,1
63024,11,9.875,14.304173,1.4485239,94,9,9,1,0,0,0,0,0
63677,4,0,0,-1,4,2,2,1,0,0,0,0,1
63935,11,13.6,11.876026,0.87323725,82,6,6,1,0,0,0,0,0
64026,30,0,0,-1,30,2,2,1,0,0,0,0,1
64344,31,0,0,-1,31,2,4,2,0,0,0,0,1
64682,21,11,0,0,33,2,2,1,0,0,0,0,1
64931,2,2,3.8078866,1.9039433,98,41,164,4,5,0.12195122,181380,4423.9023,0
64969,19,0,0,-1,20,6,13,2.1666667,0,0,0,0,1
64983,31,0,0,-1,31,2,3,1.5,0,0,0,0,1
65111,0,1,0,0,2,2,2,1,0,0,0,0,1
65142,27,2,2,1,31,3,3,1,0,0,0,0,1
65172,3,0,0,-1,3,2,4,2,0,0,0,0,1
65543,0,0,0,-1,2,5,11,2.2,0,0,0,0,1
65555,8,44.5,44.5,1,98,3,3,1,0,0,0,0,1
65903,14,20.5,34.932076,1.7040038,96,5,8,1.6,0,0,0,0,1
65986,21,1,0,0,22,2,2,1,0,0,0,0,1
66119,22,17,0,0,40,2,3,1.5,0,0,0,0,1
66276,9,0,0,-1,9,2,2,1,0,0,0,0,1
67565,13,1.5,1.5,1,17,3,3,1,0,0,0,0,1
67717,24,24.5,24.5,1,73,3,4,1.3333334,0,0,0,0,1
67815,19,26,0,0,45,2,5,2.5,0,0,0,0,1
68438,22,13.25,15.769829,1.1901758,76,5,9,1.8,0,0,0,0,1
68854,0,63,0,0,64,2,3,1.5,0,0,0,0,1
69147,16,24,0,0,40,2,3,1.5,0,0,0,0,1
69321,20,6,0,0,26,2,3,1.5,0,0,0,0,1
69688,9,0,0,-1,9,2,2,1,0,0,0,0,1
69691,6,4.076923,5.2103677,1.2780147,67,14,20,1.4285715,0,0,0,0,1
70157,8,4,0,0,17,3,3,1,0,0,0,0,1
70192,7,2,0,0,12,3,4,1.3333334,0,0,0,0,1
70343,27,3.5,3.5,1,34,3,3,1,0,0,0,0,1
70578,0,0,0,-1,1,4,6,1.5,0,0,0,0,0
70888,3,9,0,0,13,2,4,2,1,0.5,57240,28620,1
70942,27,6,0,0,40,3,9,3,0,0,0,0,1
71111,7,23,0,0,31,2,2,1,0,0,0,0,1
71242,16,2,0,0,18,2,2,1,0,0,0,0,1
71301,17,1,0,0,18,2,2,1,0,0,0,0,1
71643,22,4.5,7.745967,1.7213259,61,9,18,2,0,0,0,0,1
72055,19,9.714286,13.894648,1.4303313,90,8,9,1.125,0,0,0,0,0
72109,4,56,0,0,60,2,2,1,0,0,0,0,1
72123,22,0,0,-1,22,2,3,1.5,0,0,0,0,1
72373,13,8,0,0,21,2,7,3.5,1,0.5,18600,9300,0
72569,21,31,31,1,84,3,5,1.6666666,1,0.33333334,275880,91960,1
72864,21,2,2,1,26,3,4,1.3333334,0,0,0,0,1
72908,31,0,0,-1,33,4,6,1.5,0,0,0,0,1
72986,4,31,0,0,36,2,3,1.5,0,0,0,0,1
73076,0,0,0,-1,0,3,20,6.6666665,0,0,0,0,1
73080,31,20,0,0,52,2,2,1,0,0,0,0,0
73522,28,1,0,0,30,2,2,1,0,0,0,0,1
73530,25,19,0,0,45,2,2,1,0,0,0,0,1
73656,25,0,0,-1,26,2,2,1,0,0,0,0,1
73918,6,3,2.9439204,0.9813068,16,4,4,1,0,0,0,0,1
73962,15,23,0,0,39,2,3,1.5,0,0,0,0,1
74043,4,2,0,0,6,2,3,1.5,0,0,0,0,1
74578,2,2.5,0.5,0.2,8,3,3,1,0,0,0,0,1
74651,23,0,0,-1,23,2,2,1,0,0,0,0,1
75116,29,4,0,0,34,2,11,5.5,0,0,0,0,1
75137,25,21.5,11.5,0.53488374,69,3,4,1.3333334,0,0,0,0,1
75684,18,43,0,0,62,2,2,1,0,0,0,0,1
75693,26,3,3,1,32,3,7,2.3333333,0,0,0,0,1
75845,4,56,0,0,60,2,5,2.5,0,0,0,0,1
75936,6,11,7.25718,0.65974367,40,4,4,1,0,0,0,0,1
75952,30,0,0,-1,31,2,3,1.5,0,0,0,0,1
76003,3,0,0,-1,3,2,3,1.5,0,0,0,0,1
76224,17,0,0,-1,17,2,2,1,0,0,0,0,1
76479,25,26,0,0,52,2,2,1,0,0,0,0,1
77017,5,23,0,0,29,2,11,5.5,0,0,0,0,1
77058,6,10,0,0,16,2,3,1.5,0,0,0,0,1
77071,9,56,0,0,65,2,4,2,0,0,0,0,1
77374,23,24,0,0,48,2,2,1,0,0,0,0,1
77800,22,0,0,-1,23,2,2,1,0,0,0,0,1
77888,3,59,0,0,62,2,3,1.5,0,0,0,0,1
77996,1,20,0,0,21,2,2,1,0,0,0,0,1
78283,19,0,0,-1,20,2,4,2,0,0,0,0,1
78356,25,50,0,0,76,2,3,1.5,0,0,0,0,1
78421,24,51,0,0,76,2,2,1,0,0,0,0,1
78463,15,5.6,10.707007,1.9119655,45,6,16,2.6666667,0,0,0,0,1
79106,22,0,0,-1,23,4,5,1.25,0,0,0,0,1
79310,8,0,0,-1,8,2,2,1,0,0,0,0,1
79400,11,5.3333335,3.091206,0.57960117,30,4,4,1,0,0,0,0,1
79627,0,0.3,1.1298968,3.7663226,97,181,442,2.441989,0,0,0,0,0
79726,11,4.0588236,4.976067,1.2259876,89,18,19,1.0555556,0,0,0,0,1
79795,12,0,0,-1,12,3,22,7.3333335,0,0,0,0,1
79962,15,2,0,0,17,2,2,1,0,0,0,0,1
80158,18,63,0,0,82,2,4,2,0,0,0,0,1
80181,29,21.333334,11.469767,0.53764534,94,4,5,1.25,0,0,0,0,1
80223,30,6,6,1,43,3,12,4,0,0,0,0,1
80617,20,24.5,21.5,0.877551,69,3,4,1.3333334,0,0,0,0,1
80680,18,6.3333335,8.576453,1.3541769,58,7,7,1,0,0,0,0,1
80815,8,22,11,0.5,54,3,3,1,0,0,0,0,1
81232,6,1.2222222,1.3966451,1.1427096,22,10,10,1,0,0,0,0,0
81516,8,32,0,0,41,2,2,1,0,0,0,0,1
81606,6,0,0,-1,6,2,3,1.5,0,0,0,0,1
81701,1,79,0,0,80,2,2,1,0,0,0,0,1
82339,31,4,0,0,35,2,2,1,0,0,0,0,1
83008,28,49,0,0,77,2,2,1,0,0,0,0,1
83058,13,5,0,0,18,2,2,1,0,0,0,0,1
83230,16,17,0,0,33,2,5,2.5,0,0,0,0,1
83256,2,33.5,33.5,1,69,3,4,1.3333334,0,0,0,0,0
83454,26,2,2.1602468,1.0801234,34,4,8,2,0,0,0,0,1
83497,23,0,0,-1,23,3,4,1.3333334,0,0,0,0,1
83573,0,2.625,4.2701726,1.6267325,24,9,15,1.6666666,0,0,0,0,0
84281,0,21.5,13.5,0.627907,43,3,3,1,0,0,0,0,1
84912,26,1,0,0,27,2,3,1.5,0,0,0,0,1
85496,16,9,0,0,26,2,3,1.5,0,0,0,0,1
85829,6,6,0,0,13,2,3,1.5,0,0,0,0,1
86190,4,35.5,34.5,0.97183096,77,3,9,3,0,0,0,0,1
86192,15,0,0,-1,15,4,5,1.25,0,0,0,0,1
86281,26,0,0,-1,26,2,4,2,0,0,0,0,1
86560,4,5,0,0,10,2,2,1,0,0,0,0,1
86580,28,7.3333335,16.397831,2.236068,73,7,41,5.857143,0,0,0,0,0
86601,17,0,0,-1,17,2,3,1.5,0,0,0,0,1
87119,0,27,0,0,28,2,4,2,0,0,0,0,1
87446,28,0,0,-1,28,2,2,1,0,0,0,0,1
87677,17,2,2,1,23,3,7,2.3333333,0,0,0,0,1
87706,15,40,25,0.625,97,3,3,1,0,0,0,0,1
87940,20,1,1,1,22,3,4,1.3333334,0,0,0,0,1
87972,23,0,0,-1,23,2,8,4,0,0,0,0,1
88062,24,0,0,-1,24,2,2,1,0,0,0,0,1
88291,27,0.6666667,0.94280905,1.4142135,30,4,9,2.25,0,0,0,0,1
88415,6,3,0,0,10,2,2,1,0,0,0,0,1
88500,28,0,0,-1,29,2,4,2,0,0,0,0,1
88524,25,66,0,0,92,2,2,1,0,0,0,0,1
88662,16,7,0,0,23,2,6,3,0,0,0,0,1
88748,11,3,0,0,15,2,6,3,0,0,0,0,0
89195,11,35,0,0,46,2,2,1,0,0,0,0,1
89218,16,15,7,0.46666667,47,3,15,5,0,0,0,0,1
89587,29,0,0,-1,29,3,5,1.6666666,0,0,0,0,1
90579,6,0,0,-1,7,2,8,4,0,0,0,0,1
91284,22,0,0,-1,22,3,26,8.666667,0,0,0,0,1
92111,13,21,7,0.33333334,55,3,11,3.6666667,0,0,0,0,1
92802,27,1.3333334,1.8856181,1.4142135,32,4,7,1.75,0,0,0,0,1
92825,23,5,0,0,29,2,2,1,0,0,0,0,1
93160,12,0,0,-1,12,2,22,11,0,0,0,0,1
93179,5,0.44444445,0.6849349,1.5411035,14,10,11,1.1,0,0,0,0,0
93402,13,74,0,0,87,2,6,3,0,0,0,0,1
93627,3,0,0,-1,3,5,50,10,0,0,0,0,0
93830,4,89,0,0,94,2,2,1,0,0,0,0,1
94228,6,0,0,-1,7,2,2,1,0,0,0,0,1
94393,13,4.6666665,1.2472191,0.26726124,28,4,5,1.25,0,0,0,0,1
